,Date,Price,Open,High,Low,Vol.,Change %,Currency
88,05/16/2023,385.35,387.23,388.11,386.17,,-0.23%,USD
89,05/15/2023,386.23,386.38,388.11,386.19,,0.32%,USD
90,05/12/2023,385.0,386.33,388.3,386.17,,-0.26%,USD
91,05/11/2023,386.0,386.4,388.7,386.17,,0.16%,USD
92,05/10/2023,385.4,386.44,389.0,386.0,,-0.01%,USD
93,05/09/2023,385.44,386.44,387.72,385.72,,0.00%,USD
94,05/08/2023,385.44,386.35,389.4,385.17,,0.02%,USD
95,05/05/2023,385.35,387.31,388.15,385.17,,-0.25%,USD
96,05/04/2023,386.31,386.98,388.15,386.49,,0.09%,USD
97,05/03/2023,385.98,386.85,389.4,385.42,,0.03%,USD
98,05/02/2023,385.85,386.64,387.42,386.32,,0.05%,USD
99,05/01/2023,385.64,386.64,387.32,386.32,,0.00%,USD
100,04/28/2023,385.64,386.43,389.2,386.21,,0.05%,USD
101,04/27/2023,385.43,387.33,389.6,386.21,,-0.23%,USD
102,04/26/2023,386.33,386.24,387.67,386.12,,0.28%,USD
103,04/25/2023,385.24,387.47,387.73,385.62,,-0.32%,USD
104,04/24/2023,386.47,387.47,388.23,386.73,,0.00%,USD
105,04/21/2023,386.47,387.21,388.23,385.61,,0.07%,USD
106,04/20/2023,386.21,387.65,388.33,386.11,,-0.11%,USD
107,04/19/2023,386.65,387.78,388.21,387.65,,-0.03%,USD
108,04/18/2023,386.78,387.94,389.5,386.39,,-0.04%,USD
109,04/17/2023,386.94,388.2,390.5,387.94,,-0.07%,USD
110,04/14/2023,387.2,387.97,392.6,387.97,,0.06%,USD
111,04/13/2023,386.97,388.24,392.6,387.97,,-0.07%,USD
112,04/12/2023,387.24,388.24,391.8,388.24,,0.00%,USD
113,04/11/2023,387.24,388.24,391.2,388.12,,0.00%,USD
114,04/10/2023,387.24,388.21,391.1,388.11,,0.01%,USD
115,04/07/2023,387.21,388.21,391.1,388.11,,0.00%,USD
116,04/06/2023,387.21,388.32,391.1,388.11,,-0.03%,USD
117,04/05/2023,387.32,388.15,391.6,388.08,,0.04%,USD
118,04/04/2023,387.15,388.48,390.5,388.08,,-0.09%,USD
119,04/03/2023,387.48,388.3,390.9,388.05,,0.05%,USD
120,03/31/2023,387.3,388.3,391.0,388.15,,0.00%,USD
121,03/30/2023,387.3,388.21,391.1,388.11,,0.02%,USD
122,03/29/2023,387.21,388.29,390.8,388.11,,-0.02%,USD
123,03/28/2023,387.29,388.53,390.77,388.14,,-0.06%,USD
124,03/27/2023,387.53,388.07,390.27,387.73,,0.12%,USD
125,03/24/2023,387.07,388.33,390.32,387.58,,-0.07%,USD
126,03/23/2023,387.33,388.17,391.2,388.17,,0.04%,USD
127,03/22/2023,387.17,388.35,390.13,387.83,,-0.05%,USD
128,03/21/2023,387.35,388.48,390.09,387.67,,-0.03%,USD
129,03/20/2023,387.48,388.28,389.84,387.29,,0.05%,USD
130,03/17/2023,387.28,388.63,389.61,387.19,,-0.09%,USD
131,03/16/2023,387.63,388.4,389.42,386.95,,0.06%,USD
132,03/15/2023,387.4,388.79,388.89,388.2,,-0.10%,USD
133,03/14/2023,387.79,388.44,390.05,387.57,,0.09%,USD
134,03/13/2023,387.44,388.18,389.87,387.34,,0.07%,USD
135,03/10/2023,387.18,388.49,390.0,386.94,,-0.08%,USD
136,03/09/2023,387.49,388.6,389.8,386.95,,-0.03%,USD
137,03/08/2023,387.6,388.6,389.8,388.3,,0.00%,USD
138,03/07/2023,387.6,388.49,389.8,387.45,,0.03%,USD
139,03/06/2023,387.49,388.17,390.45,387.14,,0.08%,USD
140,03/03/2023,387.17,388.95,389.48,387.58,,-0.20%,USD
141,03/02/2023,387.95,389.01,390.7,387.98,,-0.02%,USD
142,03/01/2023,388.01,389.3,391.05,388.4,,-0.07%,USD
143,02/28/2023,388.3,389.06,390.17,388.53,,0.06%,USD
144,02/27/2023,388.06,389.42,392.6,389.03,,-0.09%,USD
145,02/24/2023,388.42,390.08,392.9,389.21,,-0.15%,USD
146,02/23/2023,389.0,390.48,393.2,390.04,,-0.12%,USD
147,02/22/2023,389.48,391.68,392.34,390.24,,-0.31%,USD
148,02/21/2023,390.68,392.89,394.3,391.34,,-0.31%,USD
149,02/20/2023,391.89,392.89,394.39,392.24,,0.00%,USD
150,02/17/2023,391.89,393.52,394.51,391.99,,-0.16%,USD
151,02/16/2023,392.52,395.5,396.26,392.65,,-0.75%,USD
152,02/15/2023,395.5,395.5,396.55,392.7,,0.00%,USD
153,02/14/2023,395.5,395.88,396.85,393.05,,-0.09%,USD
154,02/13/2023,395.88,395.75,397.12,393.14,,-0.09%,USD
155,02/10/2023,396.25,395.75,397.46,393.47,,0.13%,USD
156,02/09/2023,395.75,396.75,397.46,393.95,,-0.25%,USD
157,02/08/2023,396.75,396.63,397.45,394.04,,0.03%,USD
158,02/07/2023,396.63,396.63,397.81,393.8,,0.00%,USD
159,02/06/2023,396.63,396.48,397.81,394.49,,0.00%,USD
160,02/03/2023,396.63,396.63,397.74,394.52,,0.00%,USD
161,02/02/2023,396.63,396.25,397.62,394.62,,0.09%,USD
162,02/01/2023,396.25,396.25,397.37,394.33,,0.00%,USD
163,01/31/2023,396.25,396.13,397.44,393.83,,0.03%,USD
164,01/30/2023,396.13,396.13,397.51,393.94,,0.00%,USD
165,01/27/2023,396.13,395.65,397.51,394.33,,0.37%,USD
166,01/26/2023,394.65,396.02,397.51,394.39,,-0.09%,USD
167,01/25/2023,395.02,395.5,397.7,394.0,0.78K,-0.12%,USD
168,01/24/2023,395.5,395.64,397.83,394.0,1.26K,-0.04%,USD
169,01/23/2023,395.64,395.77,397.83,394.0,0.86K,-0.03%,USD
170,01/20/2023,395.77,395.75,397.68,394.38,1.42K,0.00%,USD
171,01/19/2023,395.75,396.02,397.68,394.0,0.80K,-0.07%,USD
172,01/18/2023,396.02,396.5,397.92,394.0,0.55K,-0.12%,USD
173,01/17/2023,396.5,396.0,397.92,394.5,0.62K,0.13%,USD
174,01/16/2023,396.0,396.0,397.78,394.78,0.45K,0.00%,USD
175,01/13/2023,396.0,396.0,397.78,394.0,0.65K,0.00%,USD
176,01/12/2023,396.0,396.5,397.65,393.0,0.86K,-0.13%,USD
177,01/11/2023,396.5,395.52,397.48,393.0,0.68K,0.25%,USD
178,01/10/2023,395.52,394.93,397.07,392.96,0.80K,0.40%,USD
179,01/09/2023,393.93,394.78,396.96,393.19,0.40K,-0.52%,USD
180,01/06/2023,396.0,396.0,396.89,393.38,0.58K,0.00%,USD
181,01/05/2023,396.0,394.0,396.88,392.7,0.62K,0.64%,USD
182,01/04/2023,393.49,394.69,396.85,392.55,0.20K,-0.05%,USD
183,01/03/2023,393.69,393.57,395.35,391.89,0.13K,0.29%,USD
184,01/02/2023,392.57,393.57,393.57,393.57,,0.15%,USD
185,12/30/2022,392.0,393.41,394.79,392.36,0.13K,-0.10%,USD
186,12/29/2022,392.41,393.27,394.7,392.14,0.14K,0.04%,USD
187,12/28/2022,392.27,393.6,394.8,392.23,0.14K,-0.08%,USD
188,12/27/2022,392.6,393.81,394.9,392.35,0.17K,0.41%,USD
189,12/26/2022,391.0,393.81,394.55,392.45,0.65K,-0.46%,USD
190,12/23/2022,392.81,394.07,396.54,392.36,0.21K,-0.07%,USD
191,12/22/2022,393.07,393.97,395.04,392.54,0.13K,0.03%,USD
192,12/21/2022,392.97,394.5,396.48,392.42,0.31K,0.06%,USD
193,12/20/2022,392.73,394.29,396.64,392.32,0.36K,-0.14%,USD
194,12/19/2022,393.29,394.45,396.73,392.64,0.24K,-0.04%,USD
195,12/16/2022,393.45,394.26,396.02,393.63,0.16K,0.05%,USD
196,12/15/2022,393.26,394.13,396.75,393.19,0.43K,0.03%,USD
197,12/14/2022,393.13,395.75,397.04,392.57,0.57K,-0.66%,USD
198,12/13/2022,395.75,395.53,397.27,393.04,0.65K,0.31%,USD
199,12/12/2022,394.53,395.3,397.27,393.9,0.28K,-0.34%,USD
200,12/09/2022,395.88,395.15,397.15,393.0,0.85K,0.44%,USD
201,12/08/2022,394.15,395.72,397.36,393.58,0.43K,-0.14%,USD
202,12/07/2022,394.72,395.59,397.36,393.8,0.33K,0.03%,USD
203,12/06/2022,394.59,395.91,397.45,393.8,0.34K,-0.08%,USD
204,12/05/2022,394.91,395.2,397.45,393.6,0.16K,0.49%,USD
205,12/02/2022,393.0,395.35,397.17,393.6,0.24K,-0.34%,USD
206,12/01/2022,394.35,395.12,397.17,393.56,0.57K,0.06%,USD
207,11/30/2022,394.12,395.12,401.6,393.56,0.35K,0.00%,USD
208,11/29/2022,394.12,395.92,397.46,393.56,0.09K,-0.20%,USD
209,11/28/2022,394.92,395.05,397.46,393.52,0.17K,0.22%,USD
210,11/25/2022,394.05,394.93,397.02,393.46,0.39K,0.03%,USD
211,11/24/2022,393.93,394.93,396.96,393.46,0.18K,0.00%,USD
212,11/23/2022,393.93,394.79,396.96,393.39,0.22K,0.04%,USD
213,11/22/2022,393.79,395.5,397.09,393.39,0.61K,-0.43%,USD
214,11/21/2022,395.5,395.15,397.09,393.58,0.61K,0.00%,USD
215,11/18/2022,395.5,395.53,397.27,393.58,0.76K,0.25%,USD
216,11/17/2022,394.53,395.14,397.27,393.57,0.06K,0.10%,USD
217,11/16/2022,394.14,395.93,397.46,393.57,0.13K,-0.20%,USD
218,11/15/2022,394.93,395.93,397.46,393.96,0.22K,0.00%,USD
219,11/14/2022,394.93,396.12,406.2,394.21,0.11K,-0.05%,USD
220,11/11/2022,395.12,395.27,397.56,393.5,0.24K,0.22%,USD
221,11/10/2022,394.27,394.66,397.14,393.5,0.21K,0.15%,USD
222,11/09/2022,393.66,396.25,397.26,393.33,0.61K,-0.65%,USD
223,11/08/2022,396.25,395.52,403.1,393.99,1.21K,0.19%,USD
224,11/07/2022,395.52,395.52,397.47,393.26,0.69K,0.00%,USD
225,11/04/2022,395.52,395.34,397.26,393.17,0.27K,0.30%,USD
226,11/03/2022,394.34,395.37,397.18,394.17,0.14K,-0.01%,USD
227,11/02/2022,394.37,401.8,402.1,394.6,0.37K,-1.82%,USD
228,11/01/2022,401.7,401.8,402.5,393.6,0.67K,-0.02%,USD
229,10/31/2022,401.8,395.53,402.6,393.83,0.35K,1.84%,USD
230,10/28/2022,394.53,396.7,402.9,394.27,0.18K,-0.30%,USD
231,10/27/2022,395.7,399.38,403.9,396.35,0.13K,-0.67%,USD
232,10/26/2022,398.38,400.91,403.5,399.19,0.18K,-0.38%,USD
233,10/25/2022,399.91,402.33,404.9,399.95,0.15K,-0.35%,USD
234,10/24/2022,401.33,403.59,405.1,401.67,0.32K,-0.31%,USD
235,10/21/2022,402.59,403.59,404.8,402.01,0.14K,0.00%,USD
236,10/20/2022,402.59,403.99,405.14,402.7,0.15K,-0.10%,USD
237,10/19/2022,402.99,403.96,405.24,402.48,0.17K,0.01%,USD
238,10/18/2022,402.96,404.13,405.42,402.98,0.13K,-0.04%,USD
239,10/17/2022,403.13,403.94,405.07,402.47,0.24K,0.05%,USD
240,10/14/2022,402.94,403.91,406.47,402.45,0.35K,0.01%,USD
241,10/13/2022,402.91,403.73,404.95,402.07,0.12K,0.04%,USD
242,10/12/2022,402.73,404.02,405.01,402.36,0.12K,-0.07%,USD
243,10/11/2022,403.02,404.3,405.15,401.0,0.16K,-0.07%,USD
244,10/10/2022,403.3,404.56,405.28,402.6,0.17K,0.57%,USD
245,10/07/2022,401.0,405.46,406.23,402.78,0.17K,-0.86%,USD
246,10/06/2022,404.46,405.68,406.49,403.23,0.19K,-0.05%,USD
247,10/05/2022,404.68,406.49,407.24,403.34,0.18K,-0.20%,USD
248,10/04/2022,405.49,406.21,407.74,404.26,0.19K,0.07%,USD
249,10/03/2022,405.21,405.65,414.0,403.6,0.14K,0.14%,USD
250,09/30/2022,404.65,405.93,414.0,403.5,0.10K,-0.07%,USD
251,09/29/2022,404.93,408.04,414.75,405.93,0.16K,-0.52%,USD
252,09/28/2022,407.04,409.82,414.0,408.02,0.02K,-0.44%,USD
253,09/27/2022,408.82,413.05,414.52,409.41,0.15K,-0.78%,USD
254,09/26/2022,412.05,416.27,416.64,412.17,0.18K,-0.78%,USD
255,09/23/2022,415.27,415.96,418.52,414.14,0.61K,-0.17%,USD
256,09/22/2022,415.96,415.71,418.52,414.71,0.97K,0.06%,USD
257,09/21/2022,415.71,416.75,419.0,415.17,1.06K,-0.25%,USD
258,09/20/2022,416.75,415.71,419.15,415.17,1.15K,0.25%,USD
259,09/19/2022,415.71,415.52,419.15,413.98,1.17K,0.05%,USD
260,09/16/2022,415.52,411.14,417.48,411.07,0.83K,1.31%,USD
261,09/15/2022,410.14,405.7,415.47,404.15,0.18K,1.34%,USD
262,09/14/2022,404.7,405.71,406.86,403.0,0.20K,0.00%,USD
263,09/13/2022,404.71,405.32,407.9,404.0,0.14K,0.10%,USD
264,09/12/2022,404.32,405.32,405.66,404.0,0.01K,0.00%,USD
265,09/09/2022,404.32,405.11,407.21,404.05,0.15K,0.58%,USD
266,09/08/2022,402.0,404.9,406.7,403.95,0.13K,-0.47%,USD
267,09/07/2022,403.9,404.8,406.1,402.9,0.15K,0.02%,USD
268,09/06/2022,403.8,404.59,405.4,402.74,0.14K,0.87%,USD
269,09/05/2022,400.3,404.59,404.99,402.7,0.16K,-0.82%,USD
270,09/02/2022,403.59,404.74,405.47,403.1,0.16K,-0.04%,USD
271,09/01/2022,403.74,404.56,405.57,403.18,0.18K,0.04%,USD
272,08/31/2022,403.56,404.77,405.64,402.78,0.15K,-0.05%,USD
273,08/30/2022,403.77,405.12,406.06,402.89,0.19K,-0.09%,USD
274,08/29/2022,404.12,404.82,406.06,402.5,0.18K,0.07%,USD
275,08/26/2022,403.82,404.94,405.87,402.75,0.18K,-0.03%,USD
276,08/25/2022,403.94,404.87,405.62,403.23,0.15K,0.02%,USD
277,08/24/2022,403.87,404.93,405.96,401.2,0.17K,-0.01%,USD
278,08/23/2022,403.93,405.46,406.23,402.96,0.02K,-0.13%,USD
279,08/22/2022,404.46,405.15,406.23,401.9,0.20K,0.08%,USD
280,08/19/2022,404.15,405.79,406.39,402.5,0.17K,-0.16%,USD
281,08/18/2022,404.79,405.96,406.48,403.4,0.16K,-0.04%,USD
282,08/17/2022,404.96,406.09,406.55,403.5,0.21K,-0.03%,USD
283,08/16/2022,405.09,406.19,406.19,403.3,0.19K,-0.02%,USD
284,08/15/2022,405.19,405.91,407.1,403.9,0.22K,0.07%,USD
285,08/12/2022,404.91,406.09,407.05,404.3,0.22K,-0.04%,USD
286,08/11/2022,405.09,405.78,407.3,404.79,0.17K,0.08%,USD
287,08/10/2022,404.78,406.28,407.24,404.89,0.05K,-0.12%,USD
288,08/09/2022,405.28,406.61,407.8,405.09,0.17K,-0.08%,USD
289,08/08/2022,405.61,406.14,407.8,404.97,0.10K,0.12%,USD
290,08/05/2022,405.14,405.82,407.57,404.71,0.15K,0.08%,USD
291,08/04/2022,404.82,406.45,407.73,404.71,0.17K,-0.16%,USD
292,08/03/2022,405.45,406.97,407.98,405.01,0.16K,-0.13%,USD
293,08/02/2022,405.97,407.53,408.27,405.54,0.17K,-0.01%,USD
294,08/01/2022,406.0,407.71,408.36,405.27,0.16K,-0.17%,USD
295,07/29/2022,406.71,406.69,408.36,404.35,0.14K,0.25%,USD
296,07/28/2022,405.69,407.85,408.08,404.85,0.14K,-0.29%,USD
297,07/27/2022,406.85,409.28,409.39,406.08,0.16K,-0.35%,USD
298,07/26/2022,408.28,411.32,411.32,407.2,0.16K,-0.50%,USD
299,07/25/2022,410.32,413.1,413.1,408.9,0.14K,-0.43%,USD
300,07/22/2022,412.1,414.84,414.97,410.5,0.16K,-0.42%,USD
301,07/21/2022,413.84,415.6,418.2,413.22,0.13K,-0.18%,USD
302,07/20/2022,414.6,415.35,418.6,415.35,0.16K,0.06%,USD
303,07/19/2022,414.35,415.05,416.52,413.67,0.17K,0.07%,USD
304,07/18/2022,414.05,413.42,415.88,412.61,0.17K,0.40%,USD
305,07/15/2022,412.42,412.63,414.61,411.86,0.14K,0.19%,USD
306,07/14/2022,411.63,411.84,414.07,411.22,0.13K,0.19%,USD
307,07/13/2022,410.84,410.96,412.32,409.48,0.13K,0.21%,USD
308,07/12/2022,409.96,410.96,410.96,410.96,,0.00%,USD
309,07/11/2022,409.96,410.65,412.23,409.63,0.11K,0.07%,USD
310,07/08/2022,409.67,409.38,410.67,406.9,0.13K,0.32%,USD
311,07/07/2022,408.38,408.2,409.74,402.7,0.10K,0.29%,USD
312,07/06/2022,407.2,407.52,408.2,402.7,0.12K,0.17%,USD
313,07/05/2022,406.52,407.95,407.95,407.52,0.02K,-0.11%,USD
314,07/04/2022,406.95,407.95,407.95,405.2,0.12K,0.00%,USD
315,07/01/2022,406.95,407.21,407.95,405.0,0.11K,0.18%,USD
316,06/30/2022,406.21,408.39,409.05,406.05,0.13K,-0.29%,USD
317,06/29/2022,407.39,408.39,409.35,407.14,0.15K,0.00%,USD
318,06/28/2022,407.39,408.8,409.7,407.35,0.14K,-3.00%,USD
319,06/27/2022,420.0,408.56,420.95,408.56,0.08K,3.05%,USD
320,06/24/2022,407.56,410.82,420.5,407.78,0.14K,-0.55%,USD
321,06/23/2022,409.82,412.62,412.62,409.91,0.01K,-0.44%,USD
322,06/22/2022,411.62,417.01,420.85,412.62,0.13K,-1.06%,USD
323,06/21/2022,416.01,425.3,425.3,417.01,0.14K,-1.95%,USD
324,06/20/2022,424.3,425.3,425.3,420.1,0.14K,0.00%,USD
325,06/17/2022,424.3,424.42,425.3,422.21,0.15K,0.21%,USD
326,06/16/2022,423.42,424.42,424.71,421.8,0.12K,0.00%,USD
327,06/15/2022,423.42,419.63,424.71,419.32,0.14K,1.14%,USD
328,06/14/2022,418.63,418.64,422.9,418.64,0.13K,0.24%,USD
329,06/13/2022,417.64,421.95,423.48,418.64,0.14K,-0.79%,USD
330,06/10/2022,420.95,426.85,426.92,421.95,0.02K,-1.15%,USD
331,06/09/2022,425.85,430.79,430.89,426.85,0.02K,-0.92%,USD
332,06/08/2022,429.79,433.87,442.5,430.79,0.17K,-0.71%,USD
333,06/07/2022,432.87,437.62,442.1,433.87,0.10K,-0.86%,USD
334,06/06/2022,436.62,440.15,442.75,437.62,0.20K,-0.58%,USD
335,06/03/2022,439.15,445.64,447.12,439.58,0.23K,-1.23%,USD
336,06/02/2022,444.64,445.64,446.82,444.5,0.16K,0.00%,USD
337,06/01/2022,444.64,448.18,448.29,444.32,0.18K,-0.57%,USD
338,05/31/2022,447.18,448.18,456.8,448.18,0.17K,0.00%,USD
339,05/30/2022,447.18,448.18,448.18,448.18,,0.00%,USD
340,05/27/2022,447.18,447.17,456.6,447.17,0.18K,0.23%,USD
341,05/26/2022,446.17,450.71,456.3,446.58,0.19K,-0.79%,USD
342,05/25/2022,449.71,452.7,456.1,449.86,0.03K,-0.44%,USD
343,05/24/2022,451.7,455.73,455.73,451.85,0.02K,-0.67%,USD
344,05/23/2022,454.73,458.98,458.98,453.86,0.13K,-0.28%,USD
345,05/20/2022,456.0,459.4,461.15,457.99,0.13K,-0.52%,USD
346,05/19/2022,458.4,457.49,461.15,454.7,0.16K,0.42%,USD
347,05/18/2022,456.49,454.86,458.24,453.93,0.12K,0.58%,USD
348,05/17/2022,453.86,454.99,456.49,453.43,0.15K,-0.03%,USD
349,05/16/2022,453.99,455.94,456.17,452.0,0.13K,-0.21%,USD
350,05/13/2022,454.94,460.13,462.07,450.8,0.19K,-0.91%,USD
351,05/12/2022,459.13,466.87,467.43,459.57,0.13K,-1.45%,USD
352,05/11/2022,465.87,472.64,472.64,466.43,0.03K,-1.22%,USD
353,05/10/2022,471.64,474.35,474.35,471.82,0.01K,-0.36%,USD
354,05/09/2022,473.35,474.35,474.35,474.35,,2.13%,USD
355,05/06/2022,463.5,464.49,465.74,462.24,0.14K,0.00%,USD
356,05/05/2022,463.49,454.63,465.24,454.63,0.03K,2.17%,USD
357,05/04/2022,453.63,450.79,454.92,450.79,0.07K,0.85%,USD
358,05/03/2022,449.79,449.5,453.85,448.83,0.18K,0.25%,USD
359,05/02/2022,448.65,453.26,454.63,449.65,0.17K,-0.80%,USD
360,04/29/2022,452.26,456.67,456.67,451.63,0.11K,-0.75%,USD
361,04/28/2022,455.67,459.98,461.99,456.67,0.13K,-0.72%,USD
362,04/27/2022,458.98,463.12,463.86,458.99,0.17K,-0.68%,USD
363,04/26/2022,462.12,466.52,466.52,461.91,0.22K,-0.73%,USD
364,04/25/2022,465.52,467.28,468.59,465.76,0.12K,-0.16%,USD
365,04/22/2022,466.28,467.77,470.5,467.14,0.13K,-0.10%,USD
366,04/21/2022,466.77,469.21,471.4,467.39,0.12K,-0.31%,USD
367,04/20/2022,468.21,470.83,471.77,468.11,0.73K,-0.34%,USD
368,04/19/2022,469.83,471.35,473.23,470.42,0.17K,-0.11%,USD
369,04/18/2022,470.35,471.51,473.36,470.67,0.17K,-0.03%,USD
370,04/15/2022,470.51,471.51,473.76,471.26,0.26K,0.00%,USD
371,04/14/2022,470.51,472.43,474.32,470.76,0.15K,-0.20%,USD
372,04/13/2022,471.43,473.13,474.32,471.71,0.15K,-0.15%,USD
373,04/12/2022,472.13,474.84,475.42,472.32,0.16K,-0.36%,USD
374,04/11/2022,473.84,475.69,475.99,472.92,0.17K,-0.18%,USD
375,04/08/2022,474.69,476.92,478.46,474.85,0.14K,-0.26%,USD
376,04/07/2022,475.92,479.38,480.19,476.31,0.14K,-0.51%,USD
377,04/06/2022,478.38,481.59,481.59,477.59,0.14K,-0.46%,USD
378,04/05/2022,480.59,483.15,483.58,480.3,0.16K,-0.32%,USD
379,04/04/2022,482.15,484.78,484.78,481.52,0.82K,-0.34%,USD
380,04/01/2022,483.78,485.91,485.91,482.4,0.13K,-0.23%,USD
381,03/31/2022,484.91,487.77,490.0,483.4,0.13K,-0.38%,USD
382,03/30/2022,486.77,490.4,491.7,487.39,0.15K,-0.54%,USD
383,03/29/2022,489.4,490.37,491.2,488.1,0.76K,0.01%,USD
384,03/28/2022,489.37,490.3,490.68,487.9,0.68K,0.01%,USD
385,03/25/2022,489.3,489.15,490.65,487.77,0.16K,0.24%,USD
386,03/24/2022,488.15,489.15,490.08,487.58,0.12K,0.00%,USD
387,03/23/2022,488.15,488.86,490.08,487.42,0.13K,0.06%,USD
388,03/22/2022,487.86,488.77,489.68,487.43,0.06K,0.02%,USD
389,03/21/2022,487.77,488.6,489.93,487.65,0.80K,0.03%,USD
390,03/18/2022,487.6,499.0,499.0,487.55,0.07K,-0.29%,USD
391,03/17/2022,489.0,499.04,499.04,488.35,0.43K,-1.82%,USD
392,03/16/2022,498.04,507.94,507.94,498.52,0.13K,-1.76%,USD
393,03/15/2022,506.94,514.97,515.14,503.65,0.06K,-1.37%,USD
394,03/14/2022,513.97,518.28,518.89,512.5,0.08K,-0.64%,USD
395,03/11/2022,517.28,516.01,518.64,516.01,0.02K,0.44%,USD
396,03/10/2022,515.01,512.41,519.4,511.05,0.12K,0.70%,USD
397,03/09/2022,511.41,510.18,513.21,509.39,0.14K,0.44%,USD
398,03/08/2022,509.18,510.18,510.59,509.59,0.01K,0.00%,USD
399,03/07/2022,509.18,503.08,510.18,502.54,0.01K,1.41%,USD
400,03/04/2022,502.08,497.75,504.54,496.48,1.43K,1.33%,USD
401,03/03/2022,495.5,491.25,497.75,482.4,2.90K,0.87%,USD
402,03/02/2022,491.25,487.25,491.5,482.1,3.33K,1.39%,USD
403,03/01/2022,484.5,481.25,487.5,479.4,2.02K,1.04%,USD
404,02/28/2022,479.5,482.11,483.92,478.8,0.91K,-0.10%,USD
405,02/25/2022,480.0,480.0,482.56,477.94,0.65K,0.63%,USD
406,02/24/2022,477.0,479.75,480.89,477.39,0.62K,0.10%,USD
407,02/23/2022,476.5,479.5,480.39,477.71,0.57K,0.11%,USD
408,02/22/2022,476.0,480.0,483.0,477.71,0.66K,-0.21%,USD
409,02/21/2022,477.0,479.0,480.5,478.5,0.50K,0.00%,USD
410,02/18/2022,477.0,480.0,480.5,477.14,0.50K,0.00%,USD
411,02/17/2022,477.0,480.25,480.57,477.14,0.91K,-0.10%,USD
412,02/16/2022,477.5,479.9,480.74,478.46,0.88K,0.00%,USD
413,02/15/2022,477.5,480.0,480.64,478.17,0.69K,0.10%,USD
414,02/14/2022,477.0,478.94,480.47,477.93,0.52K,0.00%,USD
415,02/11/2022,477.0,479.04,480.77,478.47,0.76K,-0.22%,USD
416,02/10/2022,478.04,479.11,480.95,478.52,0.65K,-0.01%,USD
417,02/09/2022,478.11,479.75,481.55,478.3,0.45K,0.34%,USD
418,02/08/2022,476.5,482.75,483.13,478.8,1.19K,-0.63%,USD
419,02/07/2022,479.5,481.62,483.31,480.88,0.47K,-0.23%,USD
420,02/04/2022,480.62,483.0,485.1,480.81,0.65K,0.13%,USD
421,02/03/2022,480.0,483.13,484.26,481.65,1.80K,-0.05%,USD
422,02/02/2022,480.25,483.0,484.49,481.76,0.89K,0.05%,USD
423,02/01/2022,480.0,483.0,484.19,481.89,0.56K,0.00%,USD
424,01/31/2022,480.0,483.0,483.89,481.23,0.56K,0.00%,USD
425,01/28/2022,480.0,483.0,483.79,481.77,0.54K,0.00%,USD
426,01/27/2022,480.0,482.75,483.79,481.18,0.63K,-0.31%,USD
427,01/26/2022,481.47,482.26,483.89,481.38,0.44K,0.04%,USD
428,01/25/2022,481.26,481.63,483.13,479.8,0.10K,0.13%,USD
429,01/24/2022,480.63,482.12,483.56,479.82,0.21K,0.24%,USD
430,01/21/2022,479.5,481.66,483.56,480.08,0.44K,-0.24%,USD
431,01/20/2022,480.66,481.65,482.33,480.15,0.09K,0.00%,USD
432,01/19/2022,480.65,481.52,482.23,480.06,0.10K,0.03%,USD
433,01/18/2022,480.52,480.87,482.46,479.05,0.10K,0.14%,USD
434,01/17/2022,479.87,480.87,482.43,479.93,0.11K,0.00%,USD
435,01/14/2022,479.87,482.75,482.94,480.25,0.37K,0.08%,USD
436,01/13/2022,479.5,481.49,483.24,480.27,0.46K,-0.21%,USD
437,01/12/2022,480.49,482.75,484.16,480.2,0.33K,0.21%,USD
438,01/11/2022,479.5,482.75,484.33,481.41,0.61K,0.00%,USD
439,01/10/2022,479.5,482.69,484.53,480.85,0.99K,-0.42%,USD
440,01/07/2022,481.5,483.0,484.58,481.85,1.22K,0.31%,USD
441,01/06/2022,480.0,483.0,484.25,482.13,1.07K,0.00%,USD
442,01/05/2022,480.0,482.5,484.25,481.05,1.10K,0.21%,USD
443,01/04/2022,479.0,479.9,483.6,478.2,0.87K,0.02%,USD
444,01/03/2022,478.9,480.0,481.0,478.5,0.17K,-0.02%,USD
445,12/31/2021,479.0,480.14,480.14,479.5,0.02K,0.21%,USD
446,12/30/2021,478.0,479.85,481.77,478.05,0.63K,-0.18%,USD
447,12/29/2021,478.85,492.4,493.2,479.65,0.02K,-2.55%,USD
448,12/28/2021,491.4,492.5,493.25,491.7,0.03K,-0.02%,USD
449,12/27/2021,491.5,492.5,493.25,491.75,,0.00%,USD
450,12/24/2021,491.5,492.5,493.25,491.75,,0.00%,USD
451,12/23/2021,491.5,492.0,494.5,492.0,0.02K,0.10%,USD
452,12/22/2021,491.0,493.0,493.23,492.0,0.02K,-0.09%,USD
453,12/21/2021,491.45,492.5,493.25,491.73,0.02K,-0.01%,USD
454,12/20/2021,491.5,492.6,493.3,491.25,0.02K,-0.02%,USD
455,12/17/2021,491.6,492.6,492.8,491.8,0.02K,0.00%,USD
456,12/16/2021,491.6,491.8,494.6,491.4,0.09K,0.16%,USD
457,12/15/2021,490.8,494.2,495.05,490.9,0.11K,-0.49%,USD
458,12/14/2021,493.2,494.0,496.4,493.5,0.32K,0.04%,USD
